Angle (rad) Run #1	Light Intensity (%) Run #1
-0,512	24,2
-0,514	24,2
-0,515	24,1
-0,517	24,1
-0,518	24,1
-0,522	24,0
-0,523	24,1
-0,525	24,0
-0,526	24,0
-0,529	24,0
-0,531	24,0
-0,534	23,9
-0,536	24,0
-0,536	24,0
-0,537	24,0
-0,537	24,0
-0,539	24,0
-0,542	24,0
-0,543	24,0
-0,545	24,0
-0,545	24,0
-0,547	24,0
-0,548	24,1
-0,553	24,1
-0,559	24,2
-0,565	24,5
-0,572	24,6
-0,576	24,7
-0,580	24,8
-0,583	24,9
-0,583	24,9
-0,584	25,0
-0,586	25,0
-0,587	25,1
-0,589	25,2
-0,591	25,3
-0,594	25,4
-0,595	25,5
-0,597	25,6
-0,598	25,7
-0,602	25,8
-0,603	25,9
-0,603	26,0
-0,605	26,1
-0,606	26,2
-0,608	26,3
-0,609	26,5
-0,613	26,6
-0,614	26,8
-0,616	27,0
-0,619	27,1
-0,620	27,2
-0,622	27,4
-0,624	27,6
-0,625	27,7
-0,627	27,9
-0,630	28,1
-0,631	28,4
-0,635	28,8
-0,638	29,4
-0,642	29,7
-0,646	30,0
-0,647	30,4
-0,650	30,8
-0,653	31,2
-0,657	31,5
-0,658	31,8
-0,661	32,0
-0,663	32,3
-0,664	32,4
-0,666	32,7
-0,666	33,0
-0,669	33,3
-0,671	33,8
-0,674	34,3
-0,675	35,0
-0,679	35,5
-0,682	35,9
-0,685	36,2
-0,686	36,6
-0,688	36,9
-0,690	37,4
-0,691	38,0
-0,694	38,5
-0,697	39,1
-0,701	40,1
-0,704	41,1
-0,708	41,9
-0,712	42,7
-0,715	43,4
-0,718	44,4
-0,721	45,3
-0,724	46,3
-0,727	47,2
-0,730	48,2
-0,734	49,1
-0,737	50,6
-0,741	52,0
-0,745	53,4
-0,749	54,6
-0,752	55,7
-0,754	56,3
-0,756	57,0
-0,757	57,4
-0,759	58,1
-0,760	58,9
-0,762	60,4
-0,767	62,4
-0,770	64,6
-0,774	66,2
-0,778	67,9
-0,782	70,0
-0,785	72,6
-0,790	75,0
-0,795	77,6
-0,800	79,1
-0,801	81,0
-0,804	82,2
-0,807	83,5
-0,809	84,4
-0,811	86,3
-0,814	88,2
-0,817	90,6
-0,820	93,3
-0,823	95,9
-0,828	97,8
-0,831	97,8
-0,836	97,8
-0,837	97,8
-0,840	97,8
-0,844	97,8
-0,847	97,8
-0,851	97,8
-0,855	97,8
-0,858	97,8
-0,862	97,8
-0,866	97,8
-0,869	97,8
-0,872	97,8
-0,875	97,9
-0,877	97,8
-0,880	97,8
-0,881	97,8
-0,884	97,8
-0,888	97,8
-0,892	97,8
-0,897	97,8
-0,903	97,8
-0,914	97,8
-0,925	97,8
-0,935	97,8
-0,942	97,7
-0,950	97,8
-0,955	97,8
-0,961	97,8
-0,966	97,8
-0,969	97,8
-0,975	97,8
-0,979	97,8
-0,985	97,8
-0,991	97,8
-0,996	97,8
-1,002	97,8
-1,007	97,8
-1,013	97,8
-1,018	97,8
-1,019	97,8
-1,024	97,8
-1,027	97,8
-1,030	97,8
-1,035	97,8
-1,037	97,8
-1,041	97,8
-1,045	97,8
-1,048	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,051	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,051	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,9
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	97,8
-1,052	
